PlayerID,Player,Pos,Age,Team,G,MP,MinM,PER,TS_perc,X3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,X2022_23,C,SG,SF,PG,PF
mobleev01,Evan Mobley,PF,21,CLE,59,2016,472,17.2,0.589,0.104,0.317,8.3,22.4,15.4,11.9,1.1,3.7,13.2,20.2,2.4,3.6,6,0.142,-0.5,1.6,1.1,1.5,8478720,0,0,0,0,1
ncela02,Larry Nance Jr.,PF,30,NOP,48,1089,384,17.2,0.658,0.142,0.265,8.9,20.9,14.9,11.7,1.9,2.9,11,12.7,2.4,1.6,4,0.176,0.6,1.9,2.4,1.2,9672727,0,0,0,0,1
johnsca02,Cameron Johnson,PF,26,TOT,20,518,160,17.1,0.612,0.586,0.205,3.2,13.6,8.3,9.4,1.8,1.2,4.2,19.8,1.1,0.6,1.7,0.153,2.9,0.5,3.4,0.7,5887899,0,0,0,0,1
lopezbr01,Brook Lopez,C,34,MIL,57,1729,456,17.1,0.614,0.448,0.196,6.9,15.1,11.1,6,0.7,6.6,10.2,18.3,2.5,3,5.4,0.15,0.3,1.4,1.7,1.6,13906976,1,0,0,0,0
tillmxa01,Xavier Tillman Sr.,PF,24,MEM,38,560,304,17.1,0.611,0.074,0.4,12.6,14.6,13.6,9.7,2.4,2.2,11.2,13.1,1.1,0.9,2,0.172,0.3,1.5,1.8,0.5,1782621,0,0,0,0,1
joeis01,Isaiah Joe,SG,23,OKC,49,771,392,17,0.674,0.816,0.174,2.3,13,7.6,9.5,1.8,0.7,6.5,17.6,2,0.8,2.8,0.172,3.3,0,3.3,1,1836090,0,1,0,0,0
metuch01,Chimezie Metu,C,25,SAC,44,476,352,17,0.662,0.207,0.247,7.8,23.9,16,9.3,1.2,2.5,13.5,17.4,0.9,0.5,1.4,0.142,-0.4,0.2,-0.1,0.2,1910860,1,0,0,0,0
cartewe01,Wendell Carter Jr.,C,23,ORL,39,1173,312,16.9,0.627,0.331,0.338,7.5,24.6,16.1,13.7,0.6,1.8,15.2,20.9,1.7,1.2,2.9,0.119,0.6,0,0.6,0.8,14150000,1,0,0,0,0
vanvlfr01,Fred VanVleet,PG,28,TOR,50,1847,400,16.9,0.541,0.534,0.262,1.4,12.7,6.6,26.3,2.1,1.6,9.4,23.2,2.8,1.7,4.6,0.119,2.1,0.2,2.4,2,21250000,0,0,0,1,0
wisemja01,James Wiseman,C,21,TOT,22,286,176,16.9,0.647,0.029,0.388,7.8,22.2,15.1,7.4,0.5,2.2,10.4,19.8,0.5,0.3,0.8,0.133,-1.3,-1,-2.3,0,9603360,1,0,0,0,0
